,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
cell_0,1.0621,1.6522,0.9395,1.8912,2.7998,6.2988,5.8598,4.7504,9.7409,8.6795,6.8009,10.7519,17.3705,26.1599,32.6936,30.3732,12.4559,12.4973,8.1391,17.4824,15.5902,8.6981,18.2647,38.3425,10.8371,27.1442,18.9195,32.3228,17.5161,16.3310,53.0914,12.0276,25.9441,25.1598,49.6123,28.6486,48.1596,17.8409,5.9088,28.6208,29.9604,40.6292,8.3090,18.4457,1.7496,28.2748,54.2341,31.3075,36.9124,9.1674,29.3517,65.4913,14.7721,68.8034,12.4350,38.2234,37.5361,52.0754,40.3767,36.0210,16.8399,21.9038,20.7908,29.9132,25.3404,2.6646,9.4053,64.3035,28.0445,2.7273,70.5907,27.3509,37.5634,9.3293,35.2953,71.9795,39.2539,85.9030,8.9784,18.2732,51.1172,118.2882,43.3279,125.0880,32.6952,65.4967,37.4391,21.3001,39.8873,10.9302,60.7069,22.7517,38.9913,57.0627,79.3236,17.7355,45.0129,39.3465,23.4133,43.3895
cell_1,1.1679,1.4449,0.9266,1.8067,2.7839,6.2928,5.9521,4.8163,9.8514,8.6058,6.9367,10.9272,17.7892,26.4858,32.1262,30.7567,12.5007,12.7524,8.1676,17.6785,15.6484,8.6773,18.5546,37.6718,10.7840,27.6074,19.3107,31.7809,18.2570,16.8060,52.5875,12.4514,26.0062,24.9557,49.0967,28.4170,47.6872,18.4658,6.0484,28.3645,29.5223,39.8300,8.3789,17.6433,1.5578,27.9359,53.3484,30.9744,36.7019,9.2143,28.5718,64.2059,15.0642,67.1093,12.5520,38.2816,36.1976,51.5936,40.3806,35.7786,16.6742,21.9896,21.7799,29.7081,24.7905,2.8149,9.5763,63.6536,27.9081,2.6735,68.8051,26.4458,36.7038,9.6199,34.7719,70.8923,38.4504,84.7179,9.0043,18.4967,49.6817,116.0385,42.1579,122.2553,32.5582,64.9535,37.4669,21.9942,39.7652,10.9502,59.8146,21.9642,38.5219,56.3045,78.2429,17.6423,44.7264,38.9425,23.1268,43.3130
cell_2,1.2249,1.7722,0.7339,1.8948,2.8246,6.3441,6.0462,4.8207,9.8726,8.7060,7.0083,10.9255,17.8657,26.8204,32.5606,31.0558,12.5944,13.0035,8.1080,17.8247,15.6707,8.7966,18.6342,38.1033,10.8762,27.7115,19.1997,32.1843,18.1449,16.8844,52.2126,12.2109,26.4290,25.3675,49.8177,28.5078,47.5221,18.4727,5.9850,28.6111,29.1008,40.1194,8.3960,18.4148,1.7368,28.5770,52.9479,30.7676,37.3269,9.4152,28.5562,63.5256,15.1635,67.4378,12.6011,37.9985,36.7353,51.2332,39.8530,35.9900,17.0208,22.6101,21.7335,29.0312,25.4712,2.7418,9.5878,63.2082,27.3714,2.8185,67.6015,27.1282,36.5731,9.8965,34.8247,69.4340,38.4336,83.4572,9.0267,18.5664,49.3474,114.9588,42.7851,120.3492,32.3902,65.1626,36.6443,22.1333,39.5033,11.1231,59.1481,22.7063,38.8905,55.9760,76.7867,17.7898,44.4233,39.0577,23.6855,43.9458
cell_3,1.4019,1.9172,0.8274,1.9429,2.9453,6.4287,6.0728,5.0670,9.9580,8.8437,7.2201,10.9829,17.7295,27.3367,32.8536,31.2902,12.7159,13.2961,7.9587,17.8345,15.8185,8.5467,18.8334,38.5252,11.3579,27.8291,19.5072,32.4981,18.4285,17.0258,53.2093,12.6235,26.7133,25.4062,49.9352,28.7859,47.9114,18.4833,6.1111,28.9245,29.5502,40.4190,8.8101,18.3403,1.6488,28.8745,53.8935,31.0858,37.4920,9.4842,29.1043,63.7829,15.3442,67.1717,12.9341,37.9723,37.1357,51.9447,39.9737,36.1556,17.0151,22.7459,22.0522,29.0100,25.4412,2.5755,9.5896,64.1348,28.0560,2.7854,68.0936,27.1438,37.0846,10.0354,34.8538,69.6011,39.2129,84.1221,9.2168,18.8282,48.7256,113.9650,43.1288,120.4176,32.7835,65.6870,36.6531,22.3673,39.6701,11.1202,59.2125,22.7861,39.4802,56.2711,77.2839,18.2819,44.7125,38.4229,23.6867,44.2702
cell_4,1.3923,1.8577,1.1057,2.0686,3.2639,6.9021,6.3366,5.2887,10.2900,9.0245,7.4574,11.3423,18.0251,26.9870,33.6372,31.1362,12.9906,13.3320,8.2879,18.0761,15.9450,9.1487,18.9274,39.2220,11.5230,28.3170,19.3643,32.7910,18.9640,16.9502,53.7999,12.7701,26.6233,25.6172,50.3708,29.2620,47.9299,19.0364,6.4739,29.3256,29.6281,40.5998,8.4915,18.6578,1.9259,29.1193,54.1937,31.4228,37.1829,9.8697,29.5280,64.3350,15.8469,67.8667,13.1069,38.7429,37.2875,52.6555,40.4631,36.6107,17.4305,23.0068,22.3525,29.6827,25.8098,2.8521,10.2452,64.9291,28.2549,2.7213,68.4754,27.3903,37.5357,10.3581,35.2796,70.8361,39.3727,84.4020,8.9809,18.9953,49.5932,114.5243,43.4699,121.1583,32.9966,66.5280,37.3459,22.7951,40.0249,11.3954,60.4489,22.7456,39.6650,56.9112,77.3710,18.4226,45.5525,38.3773,23.6122,44.7471
cell_5,1.1698,1.9073,1.0583,1.8994,3.4472,7.1759,6.7011,5.3216,10.8021,9.5787,7.6265,12.0370,18.7533,27.6966,34.2075,32.2566,13.9135,13.7091,8.9684,18.4185,16.9573,9.2814,19.7586,38.9970,11.9222,28.6988,20.2829,33.4481,19.4115,18.0440,53.8543,12.9633,27.4756,26.5575,50.7754,29.5773,49.0821,19.4665,7.0416,29.7467,30.3430,41.0449,9.0471,19.3683,1.9597,29.5263,54.7102,31.7870,38.5441,10.0308,29.8019,64.9059,16.5758,67.8262,13.5759,39.0741,38.2342,53.2935,41.1815,36.9416,17.7934,23.5314,23.0888,30.5513,26.5727,2.7864,10.5204,65.5868,28.9564,2.7059,69.7195,28.1963,38.3201,10.7630,36.2933,71.5949,40.2579,84.6578,9.2822,19.7688,50.3548,115.8979,43.9157,122.7807,33.9114,66.3072,37.9049,23.3296,40.8021,11.7117,60.4824,23.6346,40.1951,57.6602,78.4749,19.1500,46.0352,39.6425,24.5116,45.1187
cell_6,1.4689,1.7471,1.1702,1.9148,3.1275,7.1681,6.5009,5.1771,11.2448,9.6659,7.5216,12.5251,19.8161,28.7764,34.5837,33.5440,13.9306,14.3915,9.0883,19.2719,17.6088,9.4416,20.9665,40.6433,12.0583,30.0869,21.4422,33.7213,20.1541,18.5834,55.3973,13.2679,27.8788,27.1754,51.9833,30.7995,49.4571,19.9909,6.5164,30.8180,31.1043,42.7372,8.7547,19.6829,1.7687,30.6991,55.3711,32.8076,39.6442,10.0825,31.2153,65.9845,17.3094,70.1122,13.9859,40.4314,39.3131,53.7464,42.2764,37.9131,18.3998,24.6870,23.9179,31.1954,27.3117,2.8271,10.5966,66.5667,29.6987,2.5204,70.5403,29.3805,38.9968,10.7615,36.8765,72.7591,41.5216,85.6099,9.7267,20.4595,51.0459,117.5416,45.3994,123.0478,34.9769,67.7823,39.0404,24.2043,41.9940,12.1404,61.8616,23.8939,41.5951,59.1936,78.8407,19.6066,47.1064,40.5781,24.9033,46.7828
cell_7,1.3589,2.0214,1.0122,2.1301,3.6743,7.0995,6.5045,5.2160,10.8441,9.4328,7.4406,12.2287,19.8820,29.8745,35.4538,34.3157,13.7874,14.6542,9.1375,20.1081,17.5659,9.8033,21.1661,41.3539,12.1462,31.0488,21.4426,35.6208,20.4331,18.6147,56.1516,13.6769,28.3623,27.6723,53.9599,30.8895,50.6631,20.5894,6.6737,31.0506,31.8893,44.5062,9.2758,20.0446,1.8056,31.3057,56.2379,33.4346,41.0557,10.7910,31.0468,67.1542,17.3479,71.9790,13.6360,41.6450,40.0407,54.8355,44.1584,39.1547,18.3591,25.0045,24.0111,32.0744,27.8664,3.0001,10.9086,68.4208,30.2161,2.8660,71.7501,30.0201,40.6726,10.7564,37.7563,73.8899,42.3856,88.2642,10.0198,20.4924,52.0211,120.8606,46.9859,126.2896,35.6935,70.3684,39.4906,23.9103,42.6705,12.2132,63.4840,24.5919,43.5446,61.6585,81.0441,19.7568,48.3874,41.2938,25.4807,48.4758
cell_8,1.4692,1.6649,1.1026,1.9847,3.4475,7.4498,7.0056,5.8283,11.1999,10.2085,7.6069,12.5294,19.8456,29.4477,36.8411,35.0643,14.0516,14.3333,9.0802,19.7830,17.7305,9.5591,21.2636,42.6505,11.9752,30.7408,21.5803,36.5564,20.6068,18.7487,58.5620,13.7097,29.8917,28.4324,55.6591,31.2046,52.0802,20.2469,6.7622,32.4487,32.1874,44.6389,9.6800,20.9144,1.9249,31.9064,59.1347,34.0438,41.7189,10.1673,31.9016,69.7443,17.5540,73.4550,13.9553,42.1404,41.1609,56.2586,43.5953,39.4636,18.7347,24.9379,24.6445,32.1837,28.7336,2.8345,10.8858,70.2222,30.7537,2.7462,73.1703,30.7468,40.6276,10.9690,38.0868,75.1419,43.0817,90.6277,10.1075,20.9196,52.2314,122.1903,47.8530,129.0486,35.9395,72.6720,40.2363,24.8644,43.7839,12.4219,64.8906,25.0432,43.7086,62.4997,82.6236,20.5887,49.3380,42.0784,26.2849,49.1021
cell_9,1.5261,1.9969,1.0887,2.3250,3.3157,7.0801,6.8632,5.5959,11.6504,10.2311,8.1621,13.0433,20.4371,30.1713,36.8144,34.9885,14.7729,15.2853,9.2255,20.1085,17.9326,9.8060,21.6308,42.7406,12.3839,31.7514,21.8236,35.9807,20.5461,19.2512,59.5386,13.5264,29.3758,28.6977,55.0076,32.5701,53.4595,20.5590,7.3514,32.0626,33.2900,45.3544,9.3941,20.4640,1.8717,31.6422,59.9384,34.9421,41.5735,10.7233,33.2097,71.1986,17.4864,74.6056,14.1802,42.4673,41.6675,58.1050,44.7104,39.6162,19.3596,25.5299,24.5529,33.1315,28.7737,2.9647,10.8332,71.1884,32.0891,2.8223,75.4745,30.0400,42.1007,11.2817,38.7527,77.7689,43.4843,92.7661,10.0216,21.0584,54.7120,125.3148,48.2131,132.3751,37.1262,72.4238,41.3797,24.4228,44.8066,12.8361,66.7309,24.6982,43.6646,63.4208,85.4884,20.3289,49.8555,42.4510,25.7495,49.3314
cell_10,1.7707,1.8653,1.2640,2.4160,3.6895,7.5567,6.9907,5.9468,11.1731,10.0958,8.3000,12.5627,20.6450,30.9988,37.3278,35.6457,14.1936,15.1178,9.1392,21.0803,18.1459,10.6349,22.0602,43.7268,12.9442,32.2186,22.0124,37.8670,21.2623,19.4183,59.2760,14.3889,30.3420,28.8307,56.4007,32.1651,53.6577,21.2840,7.3070,32.8301,33.4101,46.2316,9.6662,20.5726,1.7454,32.2973,59.7799,34.5961,42.7658,10.9886,32.4390,71.2804,17.5397,76.0601,14.1341,44.0304,41.7578,57.6191,46.4043,41.4150,19.2823,25.6866,25.1821,33.4778,28.3538,2.9836,11.2534,71.6034,31.6955,3.0326,76.7026,30.8200,41.7205,11.1367,39.5726,78.6459,43.8827,93.5490,10.3171,20.9487,55.7807,128.4593,48.2388,134.6638,36.9417,74.1892,42.3295,25.2702,44.8194,12.7919,66.5220,25.3677,44.8158,64.1745,85.9310,20.9700,50.9163,43.3731,26.4804,50.7919
cell_11,1.6870,2.1532,1.3887,2.2800,3.6120,7.9961,7.5659,6.2530,11.8726,10.7110,8.7919,13.7439,20.6082,30.8364,38.6866,36.3772,15.0480,15.5916,9.8366,20.5574,18.4124,10.2818,21.8942,44.2526,13.5180,31.9271,21.9654,37.9958,21.4466,19.5910,61.3509,14.1965,30.8223,30.0794,57.4625,33.2186,54.2969,21.5616,7.7805,33.7766,33.8345,46.1143,10.3697,21.6952,2.0369,33.1764,61.2858,35.2894,42.9240,11.0802,33.7053,72.6816,18.5295,76.8718,14.4316,43.5057,42.8452,59.3510,44.9550,41.1859,20.4357,26.4081,25.5774,33.5540,29.4072,3.2528,11.7441,73.3054,32.0323,3.1741,76.8642,31.2979,42.4589,11.6701,39.9812,78.8184,44.3677,95.6558,10.2369,21.7125,55.4432,128.7239,49.5358,136.2849,37.5932,75.4200,41.9398,25.7898,45.7458,13.0063,67.5768,26.6528,44.8473,65.2588,87.7244,21.0539,51.0824,44.2729,27.5064,51.0533
cell_12,1.7018,2.1500,1.3255,2.3753,4.2385,7.6821,7.3044,6.2286,12.1763,11.0112,8.7265,13.8445,21.5560,31.7555,39.0801,36.6725,15.6832,16.1481,10.2482,21.7286,19.3152,10.6786,23.0265,45.1133,14.1467,33.6790,23.1648,38.0607,22.4761,20.6313,62.1232,14.6627,30.5982,30.0011,57.7024,34.0998,55.5265,22.4104,8.0230,34.0454,35.0791,47.7752,10.3342,21.8932,2.2151,33.7141,62.4973,36.8221,44.0540,11.3567,34.4366,73.9594,19.2097,77.1724,15.6030,44.7308,43.6435,60.8633,47.5063,42.1153,20.7695,27.0973,26.9246,34.7995,29.8946,3.3295,12.2660,74.9379,33.2554,3.0311,78.4670,32.4849,43.9187,12.0375,41.0845,81.2494,46.0701,96.4598,10.5451,22.3999,57.2796,131.1281,50.8839,138.5735,38.9147,75.2198,43.0054,26.6711,47.0649,13.8723,69.2610,26.4871,46.0467,66.0205,89.3983,21.8479,52.3311,44.2702,27.4562,51.8316
cell_13,1.7812,2.1186,1.3175,2.5332,4.0421,8.4336,7.9486,6.8209,12.2533,11.1726,8.6905,14.1207,22.4293,32.5184,40.2098,38.4646,15.9438,16.4053,10.0000,22.1503,19.7027,10.8997,24.0898,46.2515,13.8811,33.8639,24.2464,39.7374,23.4353,21.0763,62.5102,15.1072,32.3486,31.3084,59.8324,34.1086,56.1080,23.0540,7.9718,35.3744,35.5591,48.8614,10.4493,23.0000,2.1936,34.9176,63.1532,37.1661,45.8633,11.5393,34.3405,75.4621,19.9005,79.8868,15.1456,46.3862,45.1458,61.7054,48.2220,43.5021,21.1610,27.5634,27.9206,35.7723,31.2745,3.3590,12.4456,76.2145,33.3895,3.0724,80.0363,33.6970,44.7147,12.4167,42.3338,82.9213,47.3187,97.6869,11.0682,22.4307,58.1161,133.9690,51.5166,140.6618,39.7516,78.1456,43.9736,27.3979,47.7331,13.9190,70.6466,27.5777,47.1702,68.3626,89.8131,22.6238,53.7349,46.1392,28.6385,53.9198
cell_14,1.8664,2.2372,1.4155,2.3844,4.0533,8.2431,8.0008,6.6475,12.6560,11.8117,9.5440,15.0675,22.4779,33.8500,41.5112,39.0889,16.4427,17.0148,10.7102,22.6064,20.0281,11.0745,24.1140,47.4988,14.3728,35.1844,23.8729,40.3758,23.1169,21.6047,64.7847,15.0897,32.5169,32.6738,60.2545,35.6335,57.7365,22.9458,8.6307,35.5525,36.5920,50.4333,10.5656,23.2229,2.0743,36.0104,64.9501,38.0121,45.9666,11.7458,36.0103,77.3420,20.1583,82.0838,16.1086,46.5728,46.6395,63.2931,48.4437,44.1907,21.8060,28.7439,27.7940,35.9623,31.9235,3.5256,12.5685,77.8342,35.5948,3.0924,81.8443,34.6506,46.3726,12.5930,42.8503,84.3151,48.3954,101.6215,10.9481,23.6209,58.7701,135.7176,53.9421,144.2108,40.6824,79.7876,44.9642,27.7047,48.7009,14.5399,72.6123,28.3698,48.5187,71.0231,93.3396,22.8971,55.3630,46.4776,29.3652,54.5914
cell_15,2.1256,2.2952,1.4979,2.7051,4.4036,8.3097,7.9030,6.5649,12.6979,11.3372,9.4124,14.6934,23.3451,34.1287,42.4148,39.6337,16.3163,17.3091,10.4106,23.4555,20.1226,11.4101,25.0690,48.6640,15.1372,36.1296,24.6939,41.6288,23.9980,22.0482,66.5291,15.2899,33.6140,32.3715,62.8503,36.0876,58.5119,23.5507,8.3200,37.1885,37.3973,51.7474,10.8275,23.2023,2.1251,36.2017,65.6162,38.7971,48.1851,12.0933,36.2670,78.3772,20.4365,82.9420,16.0467,48.2489,47.1524,63.9639,50.8980,45.4605,21.9061,29.2176,28.8020,37.1892,32.2812,3.6421,13.1392,79.5862,35.6745,3.2188,83.7479,35.0642,46.7309,12.8553,44.1674,86.4114,49.7233,103.1673,11.5380,23.5827,60.5067,140.1501,54.1291,148.0900,41.0205,82.3273,46.8012,28.2340,50.0528,15.0601,73.8318,28.2196,49.6854,71.6423,94.9500,23.6057,56.8103,47.7616,29.2508,56.6680
cell_16,2.1461,2.2817,1.5732,2.7084,4.5217,8.8843,8.3588,7.4341,13.4106,12.0751,9.6147,14.9226,23.1897,34.8067,43.2247,40.7229,16.5073,17.2357,10.7711,23.5734,20.5868,11.6394,24.9118,49.4739,15.3919,36.3107,24.9683,42.9889,24.7505,22.4900,67.6273,15.8589,34.7589,33.0722,63.7083,37.0220,60.5700,24.6034,8.7647,37.5158,38.3374,52.1235,11.4046,24.3036,2.3178,37.0176,68.3025,39.7724,48.5007,12.4269,37.3272,81.1118,21.3330,85.1499,16.2104,49.0750,48.1755,66.4420,50.6096,46.4344,22.2959,29.5889,29.4894,37.7692,32.6488,3.6973,13.8812,82.3698,35.9100,3.1678,84.8760,35.5870,48.3029,13.2003,44.6181,87.9213,50.3136,105.5512,11.5375,23.7338,61.1423,142.6360,55.0875,150.1519,42.4063,84.0852,46.7735,29.0356,50.8662,14.9507,76.5290,29.3442,50.8087,73.6142,96.8083,24.2175,57.8781,49.1437,30.3897,57.6530
cell_17,2.2440,2.2279,1.7653,2.8486,4.6564,9.2021,8.7596,7.7073,13.9195,12.5676,10.2291,16.0752,24.4317,35.5864,44.9592,41.6184,17.9682,18.4178,11.3602,24.2636,21.6839,12.2717,25.7702,50.4386,15.5884,37.3144,25.9747,43.0722,25.8186,23.4278,69.5381,16.2607,34.8945,34.6186,64.6044,38.2533,61.7681,25.2253,9.4347,38.2624,38.8878,53.3373,11.4443,25.1226,2.4093,38.1610,69.4109,40.4765,48.8964,13.0005,38.6607,82.6949,21.9997,86.7219,16.7436,50.3241,49.3562,67.9451,52.4180,47.3006,23.5168,30.8471,30.0399,39.1273,34.1114,3.7514,13.8656,83.4882,37.2896,3.3938,87.2254,37.0466,49.0008,13.6874,46.5835,90.4127,51.6784,108.2107,11.8453,24.7818,63.7781,145.6641,57.1189,154.2161,43.7664,85.2460,47.8335,29.8283,52.6194,15.6614,77.3558,30.3144,51.5069,74.7175,99.4621,24.4108,58.6807,49.5981,31.2341,58.2675
cell_18,2.4278,2.4625,1.8177,2.7072,4.8468,9.4316,8.7251,7.7084,14.5075,13.0139,10.8750,16.7234,25.1249,37.1820,45.7985,43.2991,18.7074,19.2581,11.8341,25.5802,22.4607,12.5610,27.1971,52.1314,16.4686,39.1118,26.9683,44.7206,26.3255,24.3184,70.6485,16.8113,35.8971,36.1873,66.4312,38.7993,63.0429,26.1395,9.6633,39.4238,40.0467,55.8034,12.0659,25.7790,2.3891,39.3749,70.8336,41.3076,50.9101,13.4498,39.2332,83.9660,22.4737,89.1825,17.3958,52.1735,51.2987,68.9285,54.3596,49.1564,24.1496,31.8763,31.2294,40.3148,35.1571,3.9644,14.0865,85.4011,38.9351,3.4879,89.8471,38.0890,50.2651,14.3516,47.7954,92.5718,53.7109,109.8759,12.2670,25.8207,65.2650,149.2213,58.4002,157.2328,44.3143,87.2841,49.8547,30.6692,53.5013,16.4400,79.1815,31.2109,53.7348,77.1733,101.5531,25.9016,60.9364,50.8262,32.2414,60.5250
cell_19,2.6800,2.6719,1.9878,2.8790,4.9859,9.5988,9.3197,8.0848,14.7289,13.2786,10.7180,17.1900,26.2973,38.0623,47.1784,44.7305,18.7520,19.7636,12.2018,26.4774,23.1887,13.1598,28.2606,54.4648,16.9876,40.3067,27.7531,46.5708,27.7126,24.7798,73.0489,17.2859,37.5358,36.8827,69.3855,39.8030,64.7479,27.2039,10.0321,41.1294,41.3123,57.8588,12.4715,26.7311,2.6916,40.9980,72.8132,42.5459,53.2804,14.1762,40.1829,86.3767,23.5968,92.2105,17.9218,53.4238,53.1294,71.0083,56.0329,50.2218,24.9521,33.0258,32.6027,41.0673,35.6260,4.2270,14.9834,88.1384,39.9935,3.6725,91.7847,39.3809,51.3561,14.4632,48.4410,95.0780,55.3083,113.4181,12.8530,26.4689,66.6838,152.9732,60.5831,161.1650,46.1697,91.1954,51.2479,31.6130,55.5973,17.1461,81.7830,32.3568,55.4921,79.9821,103.9675,26.5001,62.9210,52.7994,33.0688,62.9357
cell_20,2.5787,2.7404,2.1660,3.1753,5.6202,9.9598,9.5512,8.5564,15.2325,13.5603,11.4188,17.5651,26.3714,39.7160,48.8526,46.4769,19.2570,20.3535,12.5694,27.2379,23.6588,13.5754,28.9747,55.5229,17.6690,41.9588,28.7310,47.8530,28.2322,25.9398,75.9010,17.5687,38.3886,38.5740,71.2551,41.3603,67.3541,28.0240,10.3599,42.2009,42.9352,59.5804,13.0220,27.9634,2.7607,42.1489,76.2072,44.4887,54.6506,14.4188,41.6617,89.6140,24.0576,94.9668,18.7044,54.3863,54.6920,73.8144,56.9598,51.3554,25.8849,33.5671,33.5513,42.0278,37.2489,4.5174,15.5037,91.9537,40.7565,3.8701,94.0429,41.0978,53.5749,15.0395,50.2087,97.3062,57.4743,117.6300,13.3115,27.3968,68.6545,157.1859,62.6753,166.7658,47.8191,93.7362,52.9721,33.1020,57.3748,17.9849,84.7181,33.7930,57.5751,83.3006,108.0977,27.5333,65.0555,54.1962,34.5626,64.7103
cell_21,2.6887,2.9296,2.1081,3.0587,5.7627,10.6754,10.2319,9.0427,15.9970,14.7252,11.7709,18.6311,27.7855,40.3130,51.1451,47.7034,20.3354,21.1947,13.0242,27.7665,24.7662,13.9242,30.0376,57.7024,18.2496,42.9473,29.8365,50.0953,29.6853,27.0689,78.2701,18.3232,40.4472,39.6307,74.2009,42.8441,69.2117,28.7313,11.0326,44.3729,44.1910,61.2074,13.4419,28.9936,2.9279,43.7183,78.3317,45.7953,56.8314,14.5486,43.1262,92.9099,25.3330,98.4229,19.1388,56.9127,56.8712,76.3132,58.8967,53.9421,27.1676,35.3596,35.1665,43.8827,38.2857,4.6034,16.0084,94.3266,42.5852,3.7935,98.3987,42.0636,55.1659,15.9132,52.1351,101.6842,58.8598,121.0823,13.5984,28.2099,71.5667,162.8271,64.9749,172.0558,49.2405,97.2235,54.2946,34.0259,59.2490,18.2893,87.5971,34.6088,58.3053,85.6218,111.2763,28.5729,67.2611,56.3807,35.5040,67.1676
cell_22,2.8363,2.8614,2.1356,3.0970,5.8970,10.7016,10.4251,9.0159,16.5090,15.2763,12.4051,19.5993,29.3850,42.4386,52.1655,49.7392,21.5764,22.1377,13.6351,29.5292,26.0934,14.4369,31.7289,59.3563,19.2264,45.1786,31.0626,51.3124,30.5792,28.5313,81.2006,19.1841,41.2424,41.2897,75.6446,45.0173,72.0474,29.7342,11.4196,45.2919,46.1150,63.6706,13.8096,29.5804,2.7495,45.2488,81.0331,47.6941,58.3410,15.3455,45.4673,96.0937,26.4924,101.4916,20.1830,59.3702,58.7784,79.3495,61.3460,55.6991,28.2255,36.8964,36.7097,45.6904,39.7989,4.6552,16.6715,98.1549,44.3226,3.7380,101.1708,43.7748,57.7108,16.4775,54.0467,104.4088,61.3979,125.6495,14.0137,29.4474,73.8418,168.1725,66.9409,177.8972,51.6394,99.7531,56.4879,35.0340,61.6631,19.2334,90.7374,35.5679,61.4524,89.0257,116.0937,30.0301,69.4568,58.0151,36.5177,69.4646
cell_23,3.0792,2.9601,2.1457,3.4235,6.1257,10.9163,10.4675,9.4469,16.7604,15.3821,12.4869,19.8574,30.3757,44.1004,54.2932,51.8044,21.4489,22.8198,13.7354,30.4020,26.3892,15.1191,32.8143,62.3166,19.9282,46.6090,31.8498,53.7740,32.1350,29.1722,83.6089,19.5818,43.1261,42.4641,79.3064,45.8186,73.7085,31.1505,11.4895,47.3086,47.2722,66.6261,14.3212,30.5954,2.9399,47.2488,83.2209,48.7605,61.5228,15.6558,46.0991,98.5808,27.4954,105.6845,20.1430,62.1833,60.9682,81.2293,64.3892,58.4548,28.6824,37.9436,38.0005,47.5919,41.3358,4.8505,17.3303,101.0634,45.5194,3.8458,104.6451,45.4877,59.2203,16.8200,56.2262,108.4498,63.8510,129.0502,14.5304,30.0941,76.3909,174.7119,69.2564,184.0137,52.8053,104.3574,58.4447,36.5262,63.4341,19.7563,93.4319,36.8762,64.0470,92.4549,119.0966,30.8394,72.5871,60.1825,37.5606,73.1053
cell_24,3.2087,3.1748,2.3210,3.3331,6.2300,11.5063,11.0110,10.0901,17.2647,15.8824,13.1903,20.6346,30.7034,45.0168,56.8078,53.3708,22.2709,23.2716,14.4496,31.0325,27.0940,15.4454,33.3480,64.0932,20.3356,47.4637,32.4546,55.4357,32.8743,29.7616,87.0776,19.9316,44.4968,44.5784,81.8462,47.3481,76.8003,31.9751,12.3959,48.7240,49.0319,68.3655,14.8764,31.9914,2.9368,48.8981,86.6935,50.4063,63.0120,16.3554,48.1161,102.6853,28.2240,108.2867,20.7392,63.2867,63.5489,84.7711,65.3101,59.8069,30.0722,38.8429,39.1038,48.5162,42.6694,5.0616,18.2872,105.2334,47.0571,4.1906,107.9375,47.2405,61.6828,17.2107,57.6502,111.8169,65.9661,135.1112,14.8597,30.3994,78.1668,179.2233,72.1168,190.9909,54.8604,108.0932,60.0582,37.5175,65.6406,20.2797,97.2486,38.5660,65.6882,96.1380,124.0843,31.5047,74.7934,61.9905,39.3683,74.9776
cell_25,3.2721,3.1212,2.6894,3.4043,6.8027,11.7902,11.4563,9.9758,17.9175,16.4881,13.7803,21.5426,31.5991,46.1491,58.6125,54.2971,23.0709,24.3951,14.5854,31.9943,27.8969,15.8638,34.2634,65.7920,21.2252,49.1294,33.3324,56.5385,33.9463,30.6433,89.4081,20.2750,45.1733,45.9577,83.7679,48.9036,78.9019,32.8767,12.8115,50.3860,50.7893,70.7727,15.1745,32.9699,3.0898,49.8853,89.4527,52.2955,64.6584,16.5880,49.5997,105.9156,29.0835,111.8763,21.4487,65.2893,65.4931,87.6290,67.9515,61.3837,31.1995,40.6257,40.2704,50.3776,43.6637,5.1839,18.5516,108.2568,48.9625,4.2381,111.8491,48.5664,63.3760,17.8360,59.9286,115.7863,68.7036,138.6655,15.4654,31.9317,81.2270,185.0860,74.2963,196.8643,56.1265,110.7543,62.2630,38.4138,67.7927,21.3558,100.6305,39.6738,67.2244,99.1995,127.4972,32.3346,77.4033,63.7779,40.1722,76.5098
